Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,28,8,T:System.Uri,,,,,public async Task<string?> GetTitleAsync(Uri inputUri)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Program.cs,63,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ClipYT.csproj,File,Program.cs,51,0,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var basePath = builder.Configuration.GetValue<string>(""Config:BasePath"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Program.cs,32,0,"M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.String)",,,,,builder.Services.AddHttpClient(string.Empty)      .ConfigurePrimaryHttpMessageHandler(() => new HttpClientHandler      {          AutomaticDecompression = System.Net.DecompressionMethods.All      });
NuGet.0005,NuGet package is deprecated,Active,Optional,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,,,xunit 2.9.0,,,,,"xunit, 2.9.0  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,53,12,T:System.Uri,,,,,var url = new Uri(inputUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,53,12,M:System.Uri.#ctor(System.String),,,,,var url = new Uri(inputUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,37,12,T:System.Uri,,,,,"Assert.True(resultUri.Scheme == Uri.UriSchemeHttp || resultUri.Scheme == Uri.UriSchemeHttps, ""Thumbnail URL must use HTTP or HTTPS scheme"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,37,12,T:System.Uri,,,,,"Assert.True(resultUri.Scheme == Uri.UriSchemeHttp || resultUri.Scheme == Uri.UriSchemeHttps, ""Thumbnail URL must use HTTP or HTTPS scheme"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,36,12,T:System.Uri,,,,,"Assert.True(Uri.TryCreate(thumbnailUrl, UriKind.Absolute, out var resultUri), $""Thumbnail URL is not a valid URI: {thumbnailUrl}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,36,12,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"Assert.True(Uri.TryCreate(thumbnailUrl, UriKind.Absolute, out var resultUri), $""Thumbnail URL is not a valid URI: {thumbnailUrl}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,32,12,T:System.Net.Http.HttpContent,,,,,var imageData = await response.Content.ReadAsByteArrayAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,31,12,T:System.Net.Http.HttpContent,,,,,var contentType = response.Content.Headers.ContentType?.MediaType;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,24,12,T:System.Uri,,,,,var url = new Uri(inputUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\MetadataServiceTests.cs,24,12,M:System.Uri.#ctor(System.String),,,,,var url = new Uri(inputUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,317,12,T:System.Uri,,,,,var url = new Uri(inputUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,P:\Projects\clip-yt\src\ClipYT.Tests\ClipYT.Tests.csproj,File,P:\Projects\clip-yt\src\ClipYT.Tests\UnitTests.cs,317,12,M:System.Uri.#ctor(System.String),,,,,var url = new Uri(inputUrl);
